voyage_id,date_vessels_voyage_began,date_vessel_arrived_with_captives,year_of_arrival_at_port_of_disembarkation,total_embarked_18,total_disembarked,derived_duration,slaves_died_during_middle_passage,mortality_rate,if_res,days_since_bg,days_since_end,non_res_btw_res
28058,1565-01-01,1565-04-23,1565,400,298,9676800,102,0.255,1,91.32,92.44,52
28066,1586-04-23,1587-04-27,1587,359,287,31881600,72,0.200557103064067,1,169.14,172.83,38
11353,1646-10-26,1647-07-01,1647,240,155,21427200,85,0.354166666666667,1,390.15,392.63,440
11806,1656-12-01,1658-01-01,1658,259,207,34214400,52,0.200772200772201,1,427.04,431,19
52104,1677-02-03,1678-02-18,1678,408,356,32832000,52,0.127450980392157,1,500.73,504.53,266
9892,1680-12-11,1681-12-05,1681,408,310,31017600,98,0.240196078431373,1,514.8,518.39,72
9894,1681-05-06,1682-02-24,1682,218,178,25401600,40,0.18348623853211,1,516.26,519.2,6
10209,1683-04-17,1684-01-01,1684,524,477,22377600,47,0.0896946564885496,1,523.37,525.96,53
9844,1685-04-08,1686-03-05,1686,121,84,28598400,37,0.305785123966942,1,530.59,533.9,53
9848,1685-06-12,1686-03-05,1686,400,246,22982400,154,0.385,1,531.24,533.9,5
21950,1692-07-25,1693-07-13,1693,738,729,30499200,9,0.0121951219512195,1,557.24,560.77,159
9706,1692-09-30,1693-06-16,1693,421,401,22377600,20,0.0475059382422803,1,557.91,560.5,3
10265,1698-10-24,1699-01-01,1699,620,523,5961600,97,0.156451612903226,1,580.06,580.75,101
20173,1698-12-08,1699-11-22,1699,600,250,30153600,350,0.583333333333333,1,580.51,584,12
20207,1700-04-08,1701-03-22,1701,417,373,30067200,44,0.105515587529976,1,585.37,588.85,93
20248,1700-11-14,1701-12-11,1701,59,47,33868800,12,0.203389830508475,1,587.57,591.49,73
10288,1701-05-03,1701-12-11,1701,365,315,19180800,50,0.136986301369863,1,589.27,591.49,57
14988,1702-10-02,1703-06-19,1703,261,223,22464000,38,0.145593869731801,1,594.44,597.04,98
21139,1702-11-23,1703-07-09,1703,161,161,19699200,0,0,1,594.96,597.24,4
10289,1703-01-22,1703-11-06,1703,513,379,24883200,134,0.261208576998051,1,595.56,598.44,9
21161,1703-09-03,1704-08-14,1704,267,231,29894400,36,0.134831460674157,1,597.8,601.26,30
21221,1704-01-26,1704-10-20,1704,302,229,23155200,73,0.241721854304636,1,599.25,601.93,19
15005,1704-02-07,1704-08-30,1704,100,81,17712000,19,0.19,1,599.37,601.42,0
33801,1704-04-19,1705-01-01,1705,700,14,22204800,686,0.98,1,600.09,602.66,2
21180,1704-12-15,1705-08-27,1705,241,214,22032000,27,0.112033195020747,1,602.49,605.04,45
9755,1706-10-02,1708-01-06,1708,300,284,39830400,16,0.0533333333333333,1,609.05,613.66,62
9756,1707-03-05,1707-11-14,1707,78,75,21945600,3,0.0384615384615385,1,610.59,613.13,20
9750,1707-07-30,1708-03-28,1708,140,123,20908800,17,0.121428571428571,1,612.06,614.48,14
15215,1710-07-11,1711-04-26,1711,388,335,24969600,53,0.13659793814433,1,622.83,625.72,140
33113,1713-07-21,1714-11-05,1714,230,129,40780800,101,0.439130434782609,1,633.89,638.61,142
10292,1713-07-27,1715-09-21,1715,102,79,67910400,23,0.225490196078431,1,633.95,641.81,3
10021,1714-04-30,1715-04-04,1715,166,151,29289600,15,0.0903614457831325,1,636.72,640.11,59
30051,1714-09-26,1715-07-02,1715,467,362,24105600,105,0.224839400428266,1,638.21,641,19
30056,1714-12-02,1715-04-10,1715,105,91,11145600,14,0.133333333333333,1,638.88,640.17,14
30061,1715-03-25,1715-08-26,1715,560,500,13305600,60,0.107142857142857,1,640.01,641.55,26
30062,1715-03-27,1715-12-23,1715,507,356,23414400,151,0.297830374753452,1,640.03,642.74,0
30063,1715-03-27,1716-02-17,1716,230,125,28252800,105,0.456521739130435,1,640.03,643.3,0
21802,1715-08-19,1716-07-01,1716,10,9,27388800,1,0.1,1,641.48,644.65,23
10022,1716-05-16,1717-01-01,1717,175,174,19872000,1,0.00571428571428571,1,644.19,646.49,42
30086,1716-11-07,1717-06-09,1717,160,139,18489600,21,0.13125,1,645.94,648.08,43
15220,1716-12-11,1717-08-19,1717,82,17,21686400,65,0.792682926829268,1,646.28,648.79,5
20662,1717-04-09,1719-09-07,1719,600,385,76118400,215,0.358333333333333,1,647.47,656.28,24
76500,1717-07-24,1718-02-12,1718,133,119,17539200,14,0.105263157894737,1,648.53,650.56,16
30102,1718-05-03,1718-11-30,1718,195,145,18230400,50,0.256410256410256,1,651.36,653.47,91
76603,1719-07-24,1720-01-27,1720,517,500,16156800,17,0.0328820116054159,1,655.83,657.7,87
33119,1719-08-04,1720-06-28,1720,215,176,28425600,39,0.181395348837209,1,655.94,659.23,1
30125,1719-12-14,1720-06-20,1720,266,257,16329600,9,0.0338345864661654,1,657.26,659.15,20
16303,1721-02-23,1721-11-07,1721,220,190,22204800,30,0.136363636363636,1,661.63,664.2,80
76395,1721-07-01,1722-08-01,1722,174,154,34214400,20,0.114942528735632,1,662.91,666.87,14
76398,1721-07-21,1722-04-01,1722,650,372,21945600,278,0.427692307692308,1,663.11,665.65,6
75484,1721-08-19,1722-04-01,1722,316,273,19440000,43,0.136075949367089,1,663.4,665.65,4
30159,1721-11-09,1722-05-20,1722,309,254,16588800,55,0.177993527508091,1,664.22,666.14,13
30165,1721-12-15,1722-09-01,1722,205,84,22464000,121,0.590243902439024,1,664.58,667.18,12
30169,1722-01-16,1722-10-28,1722,109,84,24624000,25,0.229357798165138,1,664.9,667.75,7
30181,1723-03-30,1723-12-03,1723,300,260,21427200,40,0.133333333333333,1,669.28,671.76,76
32859,1723-04-08,1723-09-17,1723,105,90,13996800,15,0.142857142857143,1,669.37,670.99,1
32863,1723-09-23,1724-05-04,1724,371,357,19353600,14,0.0377358490566038,1,671.05,673.29,38
76694,1723-10-22,1724-07-22,1724,143,122,23673600,21,0.146853146853147,1,671.34,674.08,6
76414,1724-08-14,1725-10-01,1725,248,228,35683200,20,0.0806451612903226,1,674.31,678.44,63
76386,1725-03-25,1725-11-01,1725,166,152,19094400,14,0.0843373493975904,1,676.54,678.75,48
25997,1726-01-01,1727-01-01,1727,121,109,31536000,12,0.0991735537190083,1,679.36,683.01,75
76203,1726-06-03,1727-08-22,1727,412,340,38448000,72,0.174757281553398,1,680.89,685.34,31
78283,1726-06-09,1727-01-01,1727,215,186,17798400,29,0.134883720930233,1,680.95,683.01,2
30195,1726-12-08,1727-08-04,1727,334,296,20649600,38,0.11377245508982,1,682.77,685.16,51
16490,1727-01-01,1728-01-01,1728,271,217,31536000,54,0.199261992619926,1,683.01,686.66,19
32050,1727-10-31,1728-01-01,1728,424,361,5356800,63,0.148584905660377,1,686.04,686.66,43
30209,1728-03-02,1729-03-08,1729,434,173,32054400,261,0.601382488479263,1,687.27,690.98,24
30210,1728-03-09,1728-11-18,1728,210,202,21945600,8,0.0380952380952381,1,687.34,689.88,1
30213,1728-07-09,1729-04-07,1729,453,401,23500800,52,0.114790286975717,1,688.56,691.28,32
30215,1728-08-15,1729-05-27,1729,227,255,24624000,-28,-0.123348017621145,1,688.93,691.78,13
92391,1728-08-18,1729-04-27,1729,163,134,21772800,29,0.177914110429448,1,688.96,691.48,3
25928,1729-01-01,1730-03-13,1730,276,209,37670400,67,0.242753623188406,1,690.32,694.68,72
32908,1729-02-04,1729-07-08,1729,300,278,13305600,22,0.0733333333333333,1,690.66,692.2,3
10217,1729-03-21,1729-11-19,1729,708,636,20995200,72,0.101694915254237,1,691.11,693.54,7
30225,1729-07-10,1730-04-29,1730,345,335,25315200,10,0.0289855072463768,1,692.22,695.15,19
32055,1729-07-15,1730-05-04,1730,357,347,25315200,10,0.0280112044817927,1,692.27,695.2,0
30232,1729-10-11,1730-07-11,1730,480,413,23587200,67,0.139583333333333,1,693.15,695.88,18
10218,1730-10-01,1731-08-12,1731,629,553,27216000,76,0.120826709062003,1,696.7,699.85,120
76750,1730-11-25,1731-11-30,1731,99,88,31968000,11,0.111111111111111,1,697.25,700.95,7
92448,1731-08-19,1732-05-01,1732,273,236,22118400,37,0.135531135531136,1,699.92,702.48,69
76782,1731-10-01,1732-01-01,1732,240,197,7948800,43,0.179166666666667,1,700.35,701.27,18
10348,1731-11-21,1732-08-24,1732,647,543,23932800,104,0.160741885625966,1,700.86,703.63,13
33331,1731-12-13,1733-06-15,1733,510,266,47520000,244,0.47843137254902,1,701.08,706.58,12
10675,1732-06-24,1733-06-16,1733,316,294,30844800,22,0.069620253164557,1,703.02,706.59,52
25158,1732-12-13,1733-09-01,1733,67,56,22636800,11,0.164179104477612,1,704.74,707.36,50
30272,1733-05-25,1734-02-18,1734,313,300,23241600,13,0.0415335463258786,1,706.37,709.06,21
30273,1733-05-25,1734-05-01,1734,120,100,29462400,20,0.166666666666667,1,706.37,709.78,0
30274,1733-06-05,1734-02-24,1734,400,341,22809600,59,0.1475,1,706.48,709.12,2
32929,1733-07-14,1734-05-24,1734,404,377,27129600,27,0.0668316831683168,1,706.87,710.01,7
30275,1733-09-19,1734-08-24,1734,480,409,29289600,71,0.147916666666667,1,707.54,710.93,15
16808,1734-01-07,1734-08-19,1734,222,197,19353600,25,0.112612612612613,1,708.64,710.88,35
